xs-	ys-	xs+	ys+	xl-	yl-	xl+	yl+	theta	k	f	
	 0.45210	 -0.68322	 0.89226	 0.79959	 0.55984	 -0.66058	 0.88462	 -0.34815	 0.00000 	 9999.00000 	 2.84349
	 0.39555	 -0.87611	 0.84703	 0.32851	 0.60050	 0.85940	 0.82455	 -0.36083	 0.00000 	 9999.00000 	 2.84349
	 0.64163	 -0.75098	 0.87773	 0.71370	 0.69515	 0.74456	 0.87479	 -0.37670	 -0.00917 	 438.77779 	 0.98003
	 0.43878	 -0.31972	 0.94435	 0.06523	 0.68699	 -0.59855	 0.92013	 -0.25550	 0.00000 	 9999.00000 	 2.84349
	 0.41613	 -0.77657	 0.92557	 0.65702	 0.52832	 -0.73182	 0.84911	 -0.53917	 -0.05179 	 408.94090 	 0.94981
	 0.69654	 -0.60196	 0.82483	 0.31282	 0.48278	 0.70899	 0.93534	 -0.04314	 0.00000 	 9999.00000 	 2.84349
	 0.49533	 -0.76200	 0.84045	 0.86995	 0.47863	 0.77935	 0.87817	 -0.79711	 0.00000 	 9999.00000 	 2.84349
	 0.53032	 -0.85382	 0.92581	 0.59514	 0.52797	 -0.38559	 0.89935	 -0.86653	 -0.15414 	 540.77838 	 0.91679
	 0.69427	 -0.72045	 0.85194	 0.58124	 0.46269	 0.35421	 0.93025	 -0.18420	 0.00017 	 495.34196 	 0.99638
	 0.49358	 -0.42897	 0.80277	 0.53530	 0.55884	 -0.87314	 0.90127	 -0.42261	 0.00000 	 9999.00000 	 2.84349
	 0.53245	 -0.88095	 0.81819	 0.45558	 0.48232	 -0.12542	 0.86963	 -0.81004	 0.00000 	 9999.00000 	 2.84349
	 0.65280	 -0.42253	 0.81882	 0.40285	 0.39371	 0.36746	 0.81815	 -0.41775	 0.00000 	 9999.00000 	 2.84349
	 0.63521	 -0.15821	 0.84698	 0.26920	 0.48440	 0.78687	 0.90427	 -0.33939	 0.00000 	 9999.00000 	 2.84349
	 0.63018	 -0.04909	 0.82965	 0.38409	 0.40451	 0.27015	 0.85669	 -0.72311	 0.00000 	 9999.00000 	 2.84349
	 0.47517	 -0.41778	 0.80346	 0.20539	 0.68641	 0.74909	 0.86698	 -0.54102	 0.00000 	 9999.00000 	 2.84349
	 0.54467	 -0.60062	 0.94560	 0.32414	 0.67764	 -0.71962	 0.91130	 -0.23563	 -0.09347 	 437.54392 	 0.93149
	 0.39873	 -0.54258	 0.82083	 0.70075	 0.56490	 0.68463	 0.81597	 -0.15784	 0.00000 	 9999.00000 	 2.84349
	 0.63923	 -0.02664	 0.84607	 0.18190	 0.53947	 -0.56918	 0.86124	 -0.78151	 0.00000 	 9999.00000 	 2.84349
	 0.57111	 -0.79653	 0.81303	 0.30959	 0.43670	 -0.11589	 0.80880	 -0.82258	 0.00000 	 9999.00000 	 2.84349
	 0.45305	 -0.08822	 0.82966	 0.14269	 0.41101	 0.43658	 0.90180	 -0.79125	 0.00000 	 9999.00000 	 2.84349
	 0.50000	 -0.48927	 0.93331	 0.12963	 0.43811	 0.51896	 0.82648	 -0.06086	 0.00941 	 697.54118 	 1.04097
	 0.67013	 -0.77279	 0.89213	 0.65369	 0.37855	 -0.28764	 0.86540	 -0.81677	 -0.17457 	 539.22125 	 0.90479
	 0.39733	 -0.75383	 0.91590	 0.89046	 0.69981	 -0.79290	 0.94283	 -0.88873	 0.00000 	 9999.00000 	 2.84349
	 0.59682	 -0.13551	 0.90434	 0.66269	 0.67150	 -0.83464	 0.89547	 -0.86577	 0.00000 	 9999.00000 	 2.84349
	 0.50469	 -0.84531	 0.93378	 0.41172	 0.50413	 0.52462	 0.82511	 -0.87976	 -0.13804 	 727.23765 	 0.96226
	 0.38090	 -0.73658	 0.86258	 0.40159	 0.39425	 -0.85226	 0.84320	 -0.09949	 0.00000 	 9999.00000 	 2.84349
	 0.54244	 -0.62180	 0.86228	 0.00560	 0.62407	 -0.74786	 0.91222	 -0.52350	 -0.14387 	 392.02542 	 0.89377
	 0.64408	 -0.67306	 0.91051	 0.35189	 0.50015	 0.47697	 0.93284	 -0.78913	 0.00942 	 650.80385 	 1.03189
	 0.51560	 -0.62178	 0.88470	 0.25286	 0.50809	 0.54807	 0.82689	 -0.31752	 0.00000 	 9999.00000 	 2.84349
	 0.52565	 -0.38321	 0.94898	 0.26382	 0.65699	 -0.42409	 0.83963	 -0.61263	 0.00000 	 9999.00000 	 2.84349
